,Age,Assets_Rs,Constituency,Criminal_Cases,Education,Liabilities_Rs,Link,Name,Party,State,Winner,Year
3,68,5968041,ELURU,0,5th Pass,980000,candidate.php?candidate_id=8902,Kamarushi Veera Venkata Satyanarayana,Jai Samaikyandhra Party,ANDHRA PRADESH,0,2014
4,50,10318671,ELURU,0,12th Pass,0,candidate.php?candidate_id=8176,Korukonda Vijaya Lakshmi Pandit,IND,ANDHRA PRADESH,0,2014
5,39,60000,ELURU,0,Not Given,0,candidate.php?candidate_id=8903,Mendem Santosh Kumar,Indian Labour Party (Ambedkar Phule),ANDHRA PRADESH,0,2014
6,61,17420000,ELURU,0,8th Pass,0,candidate.php?candidate_id=8906,Musunuri Nageswara Rao,INC,ANDHRA PRADESH,0,2014
7,55,300000,ELURU,0,Illiterate,0,candidate.php?candidate_id=8175,Nagaraju Savanapudi,Marxist Communist Party of India (United),ANDHRA PRADESH,0,2014
8,65,1702308,ELURU,0,Graduate,0,candidate.php?candidate_id=8177,Nannapaneni Gangadhara Rao,IND,ANDHRA PRADESH,0,2014
9,51,734000,ELURU,0,Graduate,0,candidate.php?candidate_id=8180,Ramesh Babu Netala,BSP,ANDHRA PRADESH,0,2014
10,52,43410500,ELURU,0,Doctorate,0,candidate.php?candidate_id=9129,Thota Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,ANDHRA PRADESH,0,2014
11,48,1380000,ELURU,0,Post Graduate,1000000,candidate.php?candidate_id=8907,Uda Venkateswararao,IND,ANDHRA PRADESH,0,2014
12,47,3923000,ELURU,0,10th Pass,0,candidate.php?candidate_id=8173,Venkata Rama Rao Uppala,Pyramid Party of India,ANDHRA PRADESH,0,2014
13,38,60000,ELURU,0,10th Pass,0,candidate.php?candidate_id=8900,Vijaya Kumari Govada,Prem Janata Dal,ANDHRA PRADESH,0,2014
14,52,Nil,ELURU,0,Graduate,0,candidate.php?candidate_id=8901,Yantrapati Ashok,Mahajana Socialist Party,ANDHRA PRADESH,0,2014
0,48,6830581361,GUNTUR,0,Graduate,202334283,candidate.php?candidate_id=8183,Jayadev Galla,TDP,ANDHRA PRADESH,1,2014
1,49,17620000,GUNTUR,0,10th Pass,3800000,candidate.php?candidate_id=8182,Abburi Koteswara Rao,Pyramid Party of India,ANDHRA PRADESH,0,2014
2,44,7654500,GUNTUR,0,10th Pass,7000000,candidate.php?candidate_id=9451,Abdul Waheed Shaik,INC,ANDHRA PRADESH,0,2014
3,41,400000,GUNTUR,0,5th Pass,50000,candidate.php?candidate_id=9454,Arudala Venkateswara Rao,IND,ANDHRA PRADESH,0,2014
4,45,794017805,GUNTUR,0,Graduate,483766785,candidate.php?candidate_id=9679,Balashowry Vallabhaneni,Yuvajana Sramika Rythu Congress Party,ANDHRA PRADESH,0,2014
5,36,7663330,GUNTUR,0,10th Pass,712920,candidate.php?candidate_id=8185,Bitra Venkata Sivannarayana,IND,ANDHRA PRADESH,0,2014
6,47,135000,GUNTUR,0,Graduate,0,candidate.php?candidate_id=9452,Emani Chandra Sekhar Rao,Navodyam Party,ANDHRA PRADESH,0,2014
7,44,22350000,GUNTUR,0,Post Graduate,2350000,candidate.php?candidate_id=8485,Kata Venkata Bhavani Veera Vara Prasad,AAP,ANDHRA PRADESH,0,2014
8,0,38861445,GUNTUR,2,Graduate Professional,20591835,candidate.php?candidate_id=8186,Koutharapu Ravindra,Great India Party,ANDHRA PRADESH,0,2014
9,60,6413204,GUNTUR,0,Post Graduate,1062915,candidate.php?candidate_id=8487,Mallela Babu Rao,BSP,ANDHRA PRADESH,0,2014
10,48,6907000,GUNTUR,0,12th Pass,1350000,candidate.php?candidate_id=9453,Mallela Venkata Rao,Jai Samaikyandhra Party,ANDHRA PRADESH,0,2014
11,57,442624916,GUNTUR,0,Post Graduate,954406,candidate.php?candidate_id=8489,Udaia Kumar Musuku,Indian Christian Secular Party,ANDHRA PRADESH,0,2014
0,57,35793637,HINDUPUR,2,Graduate,998480,candidate.php?candidate_id=8911,Kristappa Nimmala,TDP,ANDHRA PRADESH,1,2014
1,0,745000,HINDUPUR,0,Post Graduate,110000,candidate.php?candidate_id=8908,Amudala Subramanyam,Rayalaseema Parirakshana Samithi,ANDHRA PRADESH,0,2014
2,41,155000,HINDUPUR,0,12th Pass,0,candidate.php?candidate_id=8913,Appireddygari Konda Reddy,IND,ANDHRA PRADESH,0,2014
3,28,120000,HINDUPUR,0,Post Graduate,0,candidate.php?candidate_id=8915,C.Anand Kumar,Pyramid Party of India,ANDHRA PRADESH,0,2014
4,31,1285000,HINDUPUR,0,Graduate,870000,candidate.php?candidate_id=8910,Chinta Sarath Kumar Reddy,IND,ANDHRA PRADESH,0,2014
5,46,5063528,HINDUPUR,0,12th Pass,1200000,candidate.php?candidate_id=8494,Deshmukh Somnath,IND,ANDHRA PRADESH,0,2014
6,43,420913035,HINDUPUR,0,Graduate,34291359,candidate.php?candidate_id=8495,Duddukunta Sreedhar Reddy,Yuvajana Sramika Rythu Congress Party,ANDHRA PRADESH,0,2014
7,54,3320000,HINDUPUR,1,10th Pass,200000,candidate.php?candidate_id=8188,Gutturu Chinna Venkataramudu,INC,ANDHRA PRADESH,0,2014
8,61,4125958,HINDUPUR,0,Post Graduate,540000,candidate.php?candidate_id=8912,K.M. Asadulla,IND,ANDHRA PRADESH,0,2014
9,39,780000,HINDUPUR,0,Graduate,0,candidate.php?candidate_id=8909,K.M.Shameer Basha,Jai Samaikyandhra Party,ANDHRA PRADESH,0,2014
10,48,33018797,HINDUPUR,3,10th Pass,9883924,candidate.php?candidate_id=8916,K.Pedda Reddi,IND,ANDHRA PRADESH,0,2014
11,43,5883944,HINDUPUR,0,12th Pass,597451,candidate.php?candidate_id=8493,M.Sudhakar Naidu,IND,ANDHRA PRADESH,0,2014
0,29,70480623,KADAPA,1,Post Graduate,5547296,candidate.php?candidate_id=8191,Avinash Reddy Yeduguri Sandinti,Yuvajana Sramika Rythu Congress Party,ANDHRA PRADESH,1,2014
1,61,535800,KADAPA,0,10th Pass,0,candidate.php?candidate_id=8190,Gajjala Rama Subba Reddy,Pyramid Party of India,ANDHRA PRADESH,0,2014
2,26,7500000,KADAPA,3,Graduate Professional,4733000,candidate.php?candidate_id=8920,Lakshmi Reddy Putta,AIFB,ANDHRA PRADESH,0,2014
3,35,5613000,KADAPA,0,12th Pass,2000000,candidate.php?candidate_id=8924,M. Hanumantha Reddy,BSP,ANDHRA PRADESH,0,2014
4,48,31312193,KADAPA,3,10th Pass,3808810,candidate.php?candidate_id=8928,Poreddy Prabhakar Reddy,IND,ANDHRA PRADESH,0,2014
5,65,280000,KADAPA,1,10th Pass,0,candidate.php?candidate_id=8921,Pullaiah Byri,Ambedkar National Congress,ANDHRA PRADESH,0,2014
6,50,54632098,KADAPA,0,12th Pass,10840808,candidate.php?candidate_id=8193,Sajid Hussain,AAP,ANDHRA PRADESH,0,2014
7,52,13929207,KADAPA,0,Graduate Professional,670425,candidate.php?candidate_id=8930,Shaik Ghouse Peer,Jai Samaikyandhra Party,ANDHRA PRADESH,0,2014
8,42,863200,KADAPA,0,8th Pass,69000,candidate.php?candidate_id=8922,Shobarani Varadi,Dalita Bahujana Party,ANDHRA PRADESH,0,2014
9,46,497543411,KADAPA,0,12th Pass,100208035,candidate.php?candidate_id=8192,Srinivasa Reddy Reddeppagari,TDP,ANDHRA PRADESH,0,2014
10,51,1769300,KADAPA,0,Graduate Professional,0,candidate.php?candidate_id=8498,Veena Ajaya Kumar,INC,ANDHRA PRADESH,0,2014
11,40,13621087,KADAPA,0,Graduate Professional,300000,candidate.php?candidate_id=8926,Veera Anil Kumar Reddy Gandluru,JD(S),ANDHRA PRADESH,0,2014
12,36,1830795,KADAPA,1,Not Given,85435,candidate.php?candidate_id=8925,Venugopal Rachineni,Rashtriya Praja Congress (Secular),ANDHRA PRADESH,0,2014
13,46,42730000,KADAPA,0,10th Pass,14000000,candidate.php?candidate_id=8499,Yellipalem Ramesh Reddy,JD(U),ANDHRA PRADESH,0,2014
0,53,17495976,KAKINADA,0,Graduate,120000,candidate.php?candidate_id=8194,Thota Venkata Narasimham,TDP,ANDHRA PRADESH,1,2014
1,57,620000,KAKINADA,1,5th Pass,21000,candidate.php?candidate_id=8198,Arjunarao Yegupati,CPI(ML)L,ANDHRA PRADESH,0,2014
2,49,99344,KAKINADA,0,10th Pass,0,candidate.php?candidate_id=8197,Chaganti Suryanarayana Murty,IND,ANDHRA PRADESH,0,2014
3,43,651495,KAKINADA,0,Post Graduate,65000,candidate.php?candidate_id=9119,Donam Neelakantam,IND,ANDHRA PRADESH,0,2014
4,62,50000,KAKINADA,0,5th Pass,0,candidate.php?candidate_id=9127,Donka Leelavathi,IND,ANDHRA PRADESH,0,2014
5,55,Nil,KAKINADA,0,5th Pass,0,candidate.php?candidate_id=9126,Guttula Annapurna Seshagiri Rao,IND,ANDHRA PRADESH,0,2014
6,47,141000,KAKINADA,0,Graduate Professional,0,candidate.php?candidate_id=8200,Jalluri Venkateswarlu,IND,ANDHRA PRADESH,0,2014
7,48,1000,KAKINADA,0,10th Pass,0,candidate.php?candidate_id=9118,Kola Venkata Prasad Varma,RJD,ANDHRA PRADESH,0,2014
8,69,202000,KAKINADA,0,Post Graduate,0,candidate.php?candidate_id=8932,Kunche Ramadas,IND,ANDHRA PRADESH,0,2014
9,51,113518442,KAKINADA,0,Post Graduate,3330358,candidate.php?candidate_id=8934,Mangapati Pallam Raju Mallipudi,INC,ANDHRA PRADESH,0,2014
10,52,2700000,KAKINADA,0,5th Pass,950000,candidate.php?candidate_id=9128,Merla Bhavani Sankara Prasad,IND,ANDHRA PRADESH,0,2014
11,33,Nil,KAKINADA,0,10th Pass,0,candidate.php?candidate_id=9120,Motha Sarada,Republican Party of India (Khobragade),ANDHRA PRADESH,0,2014
12,48,5110000,KAKINADA,0,Graduate,800000,candidate.php?candidate_id=9117,Pepakayala Rajendra,IND,ANDHRA PRADESH,0,2014
13,45,1350000,KAKINADA,0,Post Graduate,112550,candidate.php?candidate_id=8199,Prabhakara Rao Madiki,IND,ANDHRA PRADESH,0,2014
14,37,154000,KAKINADA,0,12th Pass,0,candidate.php?candidate_id=9123,Ratna Kumar Muthabathula,BSP,ANDHRA PRADESH,0,2014
15,45,1500000,KAKINADA,1,Post Graduate,0,candidate.php?candidate_id=9121,Rokkam Dayakar,Republican Paksha (Khoripa),ANDHRA PRADESH,0,2014
