,age,CrimCases,Educ,Gender,ipclist,immov_total,mov_total,Name,nr_cases,pan,party,serious_cases,total_assets,total_liab,cons_id,consistuency,district,election,cand_id,cand_link,win,assets_old1,increase,name2,new_id,old_id,pct_change,elec_link,elec_link_old,assets_old2,liab_old2,year_prev_elect,win_prev_elect,tot_wins,incumbent,Cogniz,Convict,Framed,bonds,cash,accounts,jewels,insurance,vehicles,postal,other_mov,agri,commercial,nonagri,others,resid,Educ_clean,state
6458,64.0,False,Graduate,M,[],222724250,35026372,Parlad Singh Sawhney,0.0,Y,INC,0.0,257750622,1640266,2,Chandni Chowk,Central,delhi2015,20,http://myneta.info/delhi2015/candidate.php?candidate_id=20,False,256150902.0,1599720.0,Parlad Singh Sawhney,20.0,21.0,1.0,http://myneta.info/delhi2015/candidate.php?candidate_id=20,http://myneta.info/dl2008/candidate.php?candidate_id=3,112635137.0,255000.0,2008.0,1.0,2.0,False,,,,2069430.0,50000.0,11272967.0,2600000.0,700000.0,7653993.0,8004981.0,2675000.0,2800000.0,125600000.0,12250000.0,6574250.0,75500000.0,Grad,Delhi
6461,58.0,False,Graduate,M,[],25525000,5651199,Suman Kumar Gupta,0.0,Y,BJP,0.0,31176199,2000000,2,Chandni Chowk,Central,delhi2015,355,http://myneta.info/delhi2015/candidate.php?candidate_id=355,False,,,,,,,http://myneta.info/delhi2015/candidate.php?candidate_id=355,http://myneta.info/delhi2013/candidate.php?candidate_id=22,27935896.0,100435.0,2013.0,0.0,0.0,False,,,,,265000.0,1047648.0,465000.0,1125023.0,,,1330600.0,,22525000.0,,,3000000.0,Grad,Delhi
6465,54.0,False,8th Pass,M,[],0,130000,Dhanraj Chauhan,0.0,Y,Naya Daur Party,0.0,130000,0,5,Karol Bagh,Central,delhi2015,688,http://myneta.info/delhi2015/candidate.php?candidate_id=688,False,,,,,,,http://myneta.info/delhi2015/candidate.php?candidate_id=688,http://myneta.info/ls2014/candidate.php?candidate_id=23,370000.0,0.0,2014.0,0.0,0.0,False,,,,,15000.0,5000.0,,,,,100000.0,,,,,,Primary,Delhi
6467,59.0,False,12th Pass,M,[],103000000,10640810,Madan Khorwal,0.0,Y,INC,0.0,113640810,2596440,5,Karol Bagh,Central,delhi2015,307,http://myneta.info/delhi2015/candidate.php?candidate_id=307,False,,,,,,,http://myneta.info/delhi2015/candidate.php?candidate_id=307,http://myneta.info/delhi2013/candidate.php?candidate_id=32,113771618.0,2951440.0,2013.0,0.0,0.0,False,,,,26931.0,88000.0,1200097.0,2458480.0,2770000.0,1553000.0,,2463300.0,1500000.0,53500000.0,,,48000000.0,HS,Delhi
6471,31.0,False,12th Pass,M,[],0,717000,Vishesh Ravi,0.0,Y,AAP,0.0,717000,35000,5,Karol Bagh,Central,delhi2015,101,http://myneta.info/delhi2015/candidate.php?candidate_id=101,True,372500.0,344500.0,Vishesh Ravi,101.0,31.0,92.0,http://myneta.info/delhi2015/candidate.php?candidate_id=101,http://myneta.info/delhi2013/candidate.php?candidate_id=31,372500.0,35000.0,2013.0,1.0,1.0,True,,,,,20000.0,62000.0,635000.0,,,,,,,,,,HS,Delhi
6472,52.0,False,12th Pass,M,[],0,3862075,Yogender Chandoliya,0.0,Y,BJP,0.0,3862075,220000,5,Karol Bagh,Central,delhi2015,356,http://myneta.info/delhi2015/candidate.php?candidate_id=356,False,,,,,,,http://myneta.info/delhi2015/candidate.php?candidate_id=356,http://myneta.info/mcd2012/candidate.php?candidate_id=192,2192230.0,0.0,2012.0,1.0,1.0,True,,,,167559.0,103400.0,1045350.0,300000.0,1179765.0,,,1066000.0,,,,,,HS,Delhi
6478,32.0,True,Illiterate,M,[],0,104000,Moazam Khan,1.0,Y,Hind Congress Party,0.0,104000,0,3,Matia Mahal,Central,delhi2015,678,http://myneta.info/delhi2015/candidate.php?candidate_id=678,False,,,,,,,http://myneta.info/delhi2015/candidate.php?candidate_id=678,http://myneta.info/delhi2013/candidate.php?candidate_id=390,152000.0,0.0,2013.0,0.0,0.0,False,,,1.0,,4000.0,1000.0,,15000.0,,,84000.0,,,,,,None,Delhi
6482,26.0,False,12th Pass,M,[],0,952801,Mohd Shahzaman,0.0,Y,IND,0.0,952801,0,3,Matia Mahal,Central,delhi2015,682,http://myneta.info/delhi2015/candidate.php?candidate_id=682,False,,,,,,,http://myneta.info/delhi2015/candidate.php?candidate_id=682,http://myneta.info/delhi2013/candidate.php?candidate_id=387,818024.0,0.0,2013.0,0.0,0.0,False,,,,,145000.0,13301.0,,,,,794500.0,,,,,,HS,Delhi
6487,56.0,True,12th Pass,M,"[u'Voluntarily causing hurt to deter public servant from his duty(332)', u'Voluntarily causing hurt in committing robbery(394)', u'Robbery, or dacoity, with attempt to cause death or grievous hurt(397)', u'Mischief by fire or explosive substance with intent to destroy house, etc.(436)', u' criminal intimidation(506)', u'Acts done by several persons in furtherance of common intention(34)', u'Punishment of criminal conspiracy(120B)', u'Joining or continuing in unlawful assembly, knowing it has been commanded to disperse(145)', u'Rioting(146)', u' rioting(147)', u'Rioting, armed with deadly weapon(148)', u'Every member of unlawful assembly guilty of offence committed in prosecution of common object(149)', u'Obstructing public servant in discharge of public functions(186)', u'Disobedience to order duly promulgated by public servant(188)', u' voluntarily causing hurt(323)', u' wrongful restraint(341)', u'Assault or criminal force to deter public servant from discharge of his duty(353)', u'Mischief causing damage to the amount of fifty rupees(427)', u' criminal trespass(447)']",3300000,6183381,Shoaib Iqbal,13.0,Y,INC,8.0,9483381,2655896,3,Matia Mahal,Central,delhi2015,358,http://myneta.info/delhi2015/candidate.php?candidate_id=358,False,7395822.0,2087559.0,Shoaib Iqbal,358.0,254.0,28.0,http://myneta.info/delhi2015/candidate.php?candidate_id=358,http://myneta.info/dl2008/candidate.php?candidate_id=5,2806275.0,893913.0,2008.0,1.0,2.0,False,10.0,,3.0,,214000.0,224270.0,3854111.0,,,,1743000.0,0.0,,,,3300000.0,HS,Delhi
6490,28.0,False,8th Pass,M,[],0,370987,Umar Faruq,0.0,Y,IND,0.0,370987,0,3,Matia Mahal,Central,delhi2015,681,http://myneta.info/delhi2015/candidate.php?candidate_id=681,False,,,,,,,http://myneta.info/delhi2015/candidate.php?candidate_id=681,http://myneta.info/delhi2013/candidate.php?candidate_id=396,42524.0,0.0,2013.0,0.0,0.0,False,,,,,185000.0,12487.0,,,,,125000.0,,,,,,Primary,Delhi
