,HHinc,HHDeclarations,self_declare,self_inc
candidate.php?candidate_id=1356,197652.0,2,Y,197652.0
candidate.php?candidate_id=1357,0.0,2,Y,0.0
candidate.php?candidate_id=1358,0.0,1,Y,0.0
candidate.php?candidate_id=1359,0.0,2,Y,0.0
candidate.php?candidate_id=136,1577942.0,2,Y,934660.0
candidate.php?candidate_id=1360,228505.0,1,Y,228505.0
candidate.php?candidate_id=1361,0.0,1,Y,0.0
candidate.php?candidate_id=1362,241500.0,2,Y,241500.0
candidate.php?candidate_id=1363,96426.0,2,Y,96426.0
candidate.php?candidate_id=1365,82000.0,2,Y,82000.0
candidate.php?candidate_id=1366,0.0,1,Y,0.0
candidate.php?candidate_id=1367,438363.0,2,Y,229773.0
candidate.php?candidate_id=1368,0.0,1,Y,0.0
candidate.php?candidate_id=1369,278080.0,2,Y,278080.0
candidate.php?candidate_id=137,614412.0,2,Y,310148.0
candidate.php?candidate_id=1370,609072.0,2,Y,609072.0
candidate.php?candidate_id=1371,,0,,
candidate.php?candidate_id=1372,120000.0,1,Y,120000.0
candidate.php?candidate_id=1373,1351557.0,2,Y,508118.0
candidate.php?candidate_id=1374,0.0,1,Y,0.0
candidate.php?candidate_id=1375,191212.0,1,Y,191212.0
candidate.php?candidate_id=1377,575000.0,1,Y,575000.0
candidate.php?candidate_id=1378,,0,,
candidate.php?candidate_id=1379,0.0,1,Y,0.0
candidate.php?candidate_id=138,0.0,1,Y,0.0
candidate.php?candidate_id=1381,176820.0,1,Y,176820.0
candidate.php?candidate_id=1383,450000.0,2,Y,450000.0
candidate.php?candidate_id=1385,,0,,
candidate.php?candidate_id=1387,0.0,1,Y,0.0
candidate.php?candidate_id=1388,50546.0,1,Y,50546.0
candidate.php?candidate_id=1389,17804646.0,1,Y,17804646.0
candidate.php?candidate_id=139,847770.0,2,Y,847770.0
candidate.php?candidate_id=1395,0.0,2,Y,0.0
candidate.php?candidate_id=1396,199880.0,1,Y,199880.0
candidate.php?candidate_id=1398,,0,,
candidate.php?candidate_id=1399,,0,,
candidate.php?candidate_id=14,806912.0,3,Y,325129.0
candidate.php?candidate_id=140,594000.0,1,Y,594000.0
candidate.php?candidate_id=1400,483231.0,1,Y,483231.0
candidate.php?candidate_id=1401,0.0,1,Y,0.0
candidate.php?candidate_id=1402,,0,,
candidate.php?candidate_id=1404,0.0,1,Y,0.0
candidate.php?candidate_id=1405,358570.0,2,Y,179540.0
candidate.php?candidate_id=1406,,0,,
candidate.php?candidate_id=141,758409.0,2,Y,226850.0
candidate.php?candidate_id=1414,0.0,1,Y,0.0
candidate.php?candidate_id=1415,0.0,1,Y,0.0
candidate.php?candidate_id=1417,0.0,1,Y,0.0
candidate.php?candidate_id=142,193946.0,1,Y,193946.0
candidate.php?candidate_id=1420,165151.0,1,Y,165151.0
candidate.php?candidate_id=1422,0.0,1,Y,0.0
candidate.php?candidate_id=1423,446412.0,1,Y,446412.0
candidate.php?candidate_id=1424,,0,,
candidate.php?candidate_id=1425,703520.0,2,Y,483610.0
candidate.php?candidate_id=1426,171958.0,2,Y,171958.0
candidate.php?candidate_id=1427,0.0,2,Y,0.0
candidate.php?candidate_id=1428,174985.0,1,Y,174985.0
candidate.php?candidate_id=1429,,0,,
candidate.php?candidate_id=143,0.0,1,Y,0.0
candidate.php?candidate_id=1431,,0,,
candidate.php?candidate_id=1434,0.0,1,Y,0.0
candidate.php?candidate_id=1435,288900.0,1,Y,288900.0
candidate.php?candidate_id=1436,,0,,
candidate.php?candidate_id=1439,0.0,1,Y,0.0
candidate.php?candidate_id=144,2264076.0,3,Y,1791076.0
candidate.php?candidate_id=1440,0.0,1,Y,0.0
candidate.php?candidate_id=1442,0.0,2,Y,0.0
candidate.php?candidate_id=1444,,0,,
candidate.php?candidate_id=1448,270378.0,1,Y,270378.0
candidate.php?candidate_id=1449,400000.0,2,Y,200000.0
candidate.php?candidate_id=145,2384190.0,5,Y,307238.0
candidate.php?candidate_id=1451,120000.0,1,Y,120000.0
candidate.php?candidate_id=1452,1072271.0,4,Y,652363.0
candidate.php?candidate_id=1453,0.0,1,Y,0.0
candidate.php?candidate_id=1454,10604051.0,2,Y,592770.0
candidate.php?candidate_id=1455,585512.0,2,Y,198769.0
candidate.php?candidate_id=1456,680260.0,2,Y,278968.0
candidate.php?candidate_id=1457,2002000.0,2,Y,0.0
candidate.php?candidate_id=1458,,0,,
candidate.php?candidate_id=1459,437145.0,2,Y,0.0
candidate.php?candidate_id=146,,0,,
candidate.php?candidate_id=1460,,0,,
candidate.php?candidate_id=1462,0.0,1,Y,0.0
candidate.php?candidate_id=1464,200000.0,1,Y,200000.0
candidate.php?candidate_id=147,7522246.0,2,Y,2992246.0
candidate.php?candidate_id=1470,,0,,
candidate.php?candidate_id=1473,0.0,1,Y,0.0
candidate.php?candidate_id=1474,480000.0,1,,0.0
candidate.php?candidate_id=1475,,0,,
candidate.php?candidate_id=1477,947653.0,2,Y,483509.0
candidate.php?candidate_id=148,1092680.0,2,Y,710220.0
candidate.php?candidate_id=1481,0.0,2,Y,0.0
candidate.php?candidate_id=1482,0.0,1,Y,0.0
candidate.php?candidate_id=1483,618723.0,1,Y,618723.0
candidate.php?candidate_id=1485,199120.0,3,Y,199120.0
candidate.php?candidate_id=1487,0.0,1,Y,0.0
candidate.php?candidate_id=1488,,0,,
candidate.php?candidate_id=1489,191810.0,2,Y,191810.0
candidate.php?candidate_id=149,756668.0,2,Y,335368.0
candidate.php?candidate_id=1492,0.0,1,Y,0.0
candidate.php?candidate_id=1493,0.0,1,Y,0.0
candidate.php?candidate_id=1494,0.0,1,Y,0.0
candidate.php?candidate_id=1498,,0,,
candidate.php?candidate_id=1499,0.0,1,Y,0.0
candidate.php?candidate_id=15,,0,,
candidate.php?candidate_id=150,200000.0,1,Y,200000.0
candidate.php?candidate_id=1500,,0,,
candidate.php?candidate_id=1502,,0,,
