,Age,Constituency,Criminal_Cases,Education_Level,Name,Number_of_Cases,PAN_Given_(Y_or_N),Party_Code,Total_Assets,Total_Liabilities,common_link,elec_link
4971,45,Aonla,No,Doctorate,ALAUDDEEN KHAN in Lok Sabha 2004,0,Y,INC,1296444,0,http://myneta.info/compare_profile.php?group_id=qq6AasXKY4bdeu2ZU9Rs,http://myneta.info/loksabha2004/candidate.php?candidate_id=3983
4974,55,MADHYA PRADESH 2,No,Doctorate,Chandan Mitra in Rajya Sabha  Affidavits,0,Y,BJP,94917701,243000,http://myneta.info/compare_profile.php?group_id=wPtGzTuZq8NWCQmW9X,http://myneta.info/rajsab09aff/candidate.php?candidate_id=252
4975,52,HOOGHLY,No,Post Graduate,Dr. Chandan Sourav Mitra in Loksabha 2014,0,Y,BJP,97550630,10354197,http://myneta.info/compare_profile.php?group_id=wPtGzTuZq8NWCQmW9X,http://myneta.info/ls2014/candidate.php?candidate_id=6039
4976,67,Panchmahal,Yes,10th Pass,PRABHATSINH PRATAPSINH CHAUHAN in Lok Sabha 2009,3,Y,BJP,7255000,0,http://myneta.info/compare_profile.php?group_id=t5Yfsyc8qC6GJhcmaRS,http://myneta.info/ls2009/candidate.php?candidate_id=2629
4977,66,GODHRA,No,10th Pass,Prabhatsinh P Chauhan in Gujarat 2007,0,N,BJP,8354000,0,http://myneta.info/compare_profile.php?group_id=t5Yfsyc8qC6GJhcmaRS,http://myneta.info/2007Gujarat/candidate.php?candidate_id=887
4978,38,Amroha,Yes,Graduate,DEVENDRA NAGPAL in Lok Sabha 2009,6,Y,RLD,132425712,13960788,http://myneta.info/compare_profile.php?group_id=QMqt8EcKzCv9FHEU56MP,http://myneta.info/ls2009/candidate.php?candidate_id=8655
4979,37,Hasanpur,No,Graduate,DEVENDRA NAGPAL in Uttar Pradesh 2007,0,Y,IND,6756520,481852,http://myneta.info/compare_profile.php?group_id=QMqt8EcKzCv9FHEU56MP,http://myneta.info/up2007/candidate.php?candidate_id=18
4980,61,Vaishali,Yes,Graduate,Brishin Patel in Bihar 2010,2,Y,JD(U),17212583,0,http://myneta.info/compare_profile.php?group_id=aXycE7ZExzbvRZLnxCs,http://myneta.info/bih2010/candidate.php?candidate_id=1400
4981,60,Siwan,Yes,Graduate,BrishinPatel in Lok Sabha 2009,2,Y,JD(U),12928368,0,http://myneta.info/compare_profile.php?group_id=aXycE7ZExzbvRZLnxCs,http://myneta.info/ls2009/candidate.php?candidate_id=883
4982,39,JANGIPUR,No,Post Graduate,Dhananjay Banerjee in Loksabha 2014,0,Y,Amra Bangalee,929000,0,http://myneta.info/compare_profile.php?group_id=4KSGwJcxB7gbYjxqHbYu,http://myneta.info/ls2014/candidate.php?candidate_id=4356
4983,38,NALHATI : BYE ELECTION ON 23-2-2013,No,Post Graduate,Dhananjoy Bandopadhyay in West Bengal Bye Election 2013,0,Y,IND,906647,0,http://myneta.info/compare_profile.php?group_id=4KSGwJcxB7gbYjxqHbYu,http://myneta.info/westbengal2013bye/candidate.php?candidate_id=24
4984,37,JANGIPUR :BYE-ELECTION ON 10-10-2012,No,Post Graduate,Dhananjoy Bandopadhyay in Loksabha Bye Election,0,Y,IND,170556,0,http://myneta.info/compare_profile.php?group_id=4KSGwJcxB7gbYjxqHbYu,http://myneta.info/lsbyelection/candidate.php?candidate_id=86
4985,36,SAGARDIGHI,No,Post Graduate,Bandopadhyay Dhananjoy in West Bengal 2011,0,Y,BSP,362300,0,http://myneta.info/compare_profile.php?group_id=4KSGwJcxB7gbYjxqHbYu,http://myneta.info/westbengal2011/candidate.php?candidate_id=462
4988,0,KHADOOR SAHIB,No,8th Pass,Sukhdev Singh Chohan in Loksabha 2014,0,Y,IND,615500,0,http://myneta.info/compare_profile.php?group_id=9jEJRFcV6UVxHBASiLB,http://myneta.info/ls2014/candidate.php?candidate_id=7689
4989,62,TARN TARAN,No,8th Pass,Sukhdev Singh in Punjab 2012,0,Y,BS,200500,0,http://myneta.info/compare_profile.php?group_id=9jEJRFcV6UVxHBASiLB,http://myneta.info/pb2012/candidate.php?candidate_id=561
4990,50,KHADOOR SAHIB,No,Post Graduate,Harminder Singh Gill in Loksabha 2014,0,Y,INC,29131071,3128091,http://myneta.info/compare_profile.php?group_id=jmEbx42DAZY32As8BEC,http://myneta.info/ls2014/candidate.php?candidate_id=7681
4991,48,PATTI,No,Post Graduate,Harminder Singh in Punjab 2012,0,Y,INC,17187922,700000,http://myneta.info/compare_profile.php?group_id=jmEbx42DAZY32As8BEC,http://myneta.info/pb2012/candidate.php?candidate_id=155
4992,68,KHADOOR SAHIB,Yes,Graduate,Simranjit Singh Mann in Loksabha 2014,1,Y,SAD(A)(Simranjit Singh Mann),190748401,1500000,http://myneta.info/compare_profile.php?group_id=pdVMsK7MgYphCBDz2TQ,http://myneta.info/ls2014/candidate.php?candidate_id=7684
4993,59,Sangrur,Yes,Graduate,SIMRANJIT SINGH MANN in Lok Sabha 2004,1,Y,SAD(A)(Simranjit Singh Mann),33414322,0,http://myneta.info/compare_profile.php?group_id=pdVMsK7MgYphCBDz2TQ,http://myneta.info/loksabha2004/candidate.php?candidate_id=3099
4994,60,KORBA,No,Doctorate,Charan Das Mahant in Loksabha 2014,0,Y,INC,98328278,2500000,http://myneta.info/compare_profile.php?group_id=NvySB7NvyAJVRPHqkokc,http://myneta.info/ls2014/candidate.php?candidate_id=4648
4995,54,Korba,No,Doctorate,Charandas Mahant in Lok Sabha 2009,0,Y,INC,42704354,1643424,http://myneta.info/compare_profile.php?group_id=NvySB7NvyAJVRPHqkokc,http://myneta.info/ls2009/candidate.php?candidate_id=591
4996,48,Janjgir,No,Doctorate,DR. CHARANDAS MAHANT in Lok Sabha 2004,0,Y,INC,6871000,1161000,http://myneta.info/compare_profile.php?group_id=NvySB7NvyAJVRPHqkokc,http://myneta.info/loksabha2004/candidate.php?candidate_id=927
4997,58,SAHNEWAL,No,Graduate Professional,Sharanjit Singh Dhillon in Punjab 2012,0,Y,SAD,97246683,12172233,http://myneta.info/compare_profile.php?group_id=wTP35LBPmX7ayYJ6cH3H,http://myneta.info/pb2012/candidate.php?candidate_id=67
4998,51,Ludhiana,Yes,Graduate Professional,SHARANJIT SINGH DHILLON in Lok Sabha 2004,1,Y,SAD,9842137,1176489,http://myneta.info/compare_profile.php?group_id=wTP35LBPmX7ayYJ6cH3H,http://myneta.info/loksabha2004/candidate.php?candidate_id=3050
4999,43,GANNAVARAM,No,Post Graduate,Vallabhaneni Vamsi Mohan in Andhra Pradesh 2014,0,Y,TDP,820422722,61913971,http://myneta.info/compare_profile.php?group_id=2T7VxgsCqJvrD8Uttb9r,http://myneta.info/andhra2014/candidate.php?candidate_id=4476
5000,38,Vijayawada,Yes,Post Graduate,V Vamsi Mohan in Lok Sabha 2009,2,Y,TDP,344978721,1980716,http://myneta.info/compare_profile.php?group_id=2T7VxgsCqJvrD8Uttb9r,http://myneta.info/ls2009/candidate.php?candidate_id=4713
5001,45,Vijayawada,No,Graduate Professional,L Rajagopal in Lok Sabha 2009,0,Y,INC,1222964909,23967984,http://myneta.info/compare_profile.php?group_id=JKFFecNG7yqwPv3n3B6H,http://myneta.info/ls2009/candidate.php?candidate_id=4711
5005,60,BHANDUP  WEST,Yes,10th Pass,Shishir Krishnarao Shinde in Maharashtra Election 2014,10,Y,MNS,37728476,429634,http://myneta.info/compare_profile.php?group_id=vcQ8BywtK6gCAk8Nbmt,http://myneta.info/maharashtra2014/candidate.php?candidate_id=1312
