,Unnamed: 0,Age,Assets_Rs,Constituency,Criminal_Cases,Education,Liabilities_Rs,Link,Name,Party,State,Winner,Year,full_link,Cogniz,Convict,Framed,Other_years,Total_Wins,History,Years_since,Incumbent,Other_elec,Common_link
87,5,39,60000.0,384,0,9,0,candidate.php?candidate_id=8903,Mendem Santosh Kumar,324,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8903,0.0,0.0,0.0,,,,,,,
88,6,61,17420000.0,384,0,3,0,candidate.php?candidate_id=8906,Musunuri Nageswara Rao,311,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8906,0.0,0.0,0.0,,,,,,,
89,7,55,300000.0,384,0,7,0,candidate.php?candidate_id=8175,Nagaraju Savanapudi,496,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8175,0.0,0.0,0.0,,,,,,,
90,8,65,1702308.0,384,0,5,0,candidate.php?candidate_id=8177,Nannapaneni Gangadhara Rao,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8177,0.0,0.0,0.0,,,,,,,
91,9,51,734000.0,384,0,5,0,candidate.php?candidate_id=8180,Ramesh Babu Netala,166,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8180,0.0,0.0,0.0,,,,,,,
92,10,52,43410500.0,384,0,4,0,candidate.php?candidate_id=9129,Thota Chandra Sekhar,854,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9129,0.0,0.0,0.0,"['2014', '2009']",0.0,1.0,5.0,True,2.0,http://myneta.info/compare_profile.php?group_id=26QyZngoDMxcBuxFw94
93,11,48,1380000.0,384,0,11,1000000,candidate.php?candidate_id=8907,Uda Venkateswararao,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8907,0.0,0.0,0.0,,,,,,,
94,12,47,3923000.0,384,0,0,0,candidate.php?candidate_id=8173,Venkata Rama Rao Uppala,593,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8173,0.0,0.0,0.0,,,,,,,
95,13,38,60000.0,384,0,0,0,candidate.php?candidate_id=8900,Vijaya Kumari Govada,588,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8900,0.0,0.0,0.0,,,,,,,
96,14,52,0.0,384,0,5,0,candidate.php?candidate_id=8901,Yantrapati Ashok,479,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8901,0.0,0.0,0.0,,,,,,,
97,0,48,6830581361.0,434,0,5,202334283,candidate.php?candidate_id=8183,Jayadev Galla,803,1,1,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8183,0.0,0.0,0.0,,,,,,,
98,1,49,17620000.0,434,0,0,3800000,candidate.php?candidate_id=8182,Abburi Koteswara Rao,593,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8182,0.0,0.0,0.0,,,,,,,
99,2,44,7654500.0,434,0,0,7000000,candidate.php?candidate_id=9451,Abdul Waheed Shaik,311,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9451,0.0,0.0,0.0,,,,,,,
100,3,41,400000.0,434,0,2,50000,candidate.php?candidate_id=9454,Arudala Venkateswara Rao,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9454,0.0,0.0,0.0,,,,,,,
101,4,45,794017805.0,434,0,5,483766785,candidate.php?candidate_id=9679,Balashowry Vallabhaneni,854,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9679,0.0,0.0,0.0,"['2014', '2009', '2004']",1.0,2.0,5.0,True,3.0,http://myneta.info/compare_profile.php?group_id=ppp5vbb4juvGQpNYbZfe
102,5,36,7663330.0,434,0,0,712920,candidate.php?candidate_id=8185,Bitra Venkata Sivannarayana,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8185,0.0,0.0,0.0,,,,,,,
103,6,47,135000.0,434,0,5,0,candidate.php?candidate_id=9452,Emani Chandra Sekhar Rao,536,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9452,0.0,0.0,0.0,,,,,,,
104,7,44,22350000.0,434,0,11,2350000,candidate.php?candidate_id=8485,Kata Venkata Bhavani Veera Vara Prasad,0,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8485,0.0,0.0,0.0,,,,,,,
105,8,0,38861445.0,434,2,6,20591835,candidate.php?candidate_id=8186,Koutharapu Ravindra,290,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8186,2.0,0.0,0.0,,,,,,,
106,9,60,6413204.0,434,0,11,1062915,candidate.php?candidate_id=8487,Mallela Babu Rao,166,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8487,0.0,0.0,0.0,"['2014', '2009']",0.0,1.0,5.0,True,2.0,http://myneta.info/compare_profile.php?group_id=fXd2vGySYCCXb54XVoWW
107,10,48,6907000.0,434,0,1,1350000,candidate.php?candidate_id=9453,Mallela Venkata Rao,378,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9453,0.0,0.0,0.0,,,,,,,
108,11,57,442624916.0,434,0,11,954406,candidate.php?candidate_id=8489,Udaia Kumar Musuku,321,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8489,0.0,0.0,0.0,"['2014', '2014']",0.0,0.0,2014.0,False,2.0,http://myneta.info/compare_profile.php?group_id=NUDyQJnjzuTvAA977eC
109,0,57,35793637.0,472,2,5,998480,candidate.php?candidate_id=8911,Kristappa Nimmala,803,1,1,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8911,2.0,0.0,0.0,"['2014', '2009']",1.0,1.0,5.0,True,2.0,http://myneta.info/compare_profile.php?group_id=89Sqio9Xsh3jv3Z65XQ6
110,1,0,745000.0,472,0,11,110000,candidate.php?candidate_id=8908,Amudala Subramanyam,719,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8908,0.0,0.0,0.0,,,,,,,
111,2,41,155000.0,472,0,1,0,candidate.php?candidate_id=8913,Appireddygari Konda Reddy,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8913,0.0,0.0,0.0,,,,,,,
112,3,28,120000.0,472,0,11,0,candidate.php?candidate_id=8915,C.Anand Kumar,593,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8915,0.0,0.0,0.0,,,,,,,
113,4,31,1285000.0,472,0,5,870000,candidate.php?candidate_id=8910,Chinta Sarath Kumar Reddy,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8910,0.0,0.0,0.0,,,,,,,
114,5,46,5063528.0,472,0,1,1200000,candidate.php?candidate_id=8494,Deshmukh Somnath,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8494,0.0,0.0,0.0,,,,,,,
115,6,43,420913035.0,472,0,5,34291359,candidate.php?candidate_id=8495,Duddukunta Sreedhar Reddy,854,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8495,0.0,0.0,0.0,,,,,,,
116,7,54,3320000.0,472,1,0,200000,candidate.php?candidate_id=8188,Gutturu Chinna Venkataramudu,311,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8188,0.0,0.0,1.0,,,,,,,
117,8,61,4125958.0,472,0,11,540000,candidate.php?candidate_id=8912,K.M. Asadulla,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8912,0.0,0.0,0.0,,,,,,,
118,9,39,780000.0,472,0,5,0,candidate.php?candidate_id=8909,K.M.Shameer Basha,378,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8909,0.0,0.0,0.0,,,,,,,
