liab_accom,liab_banks/fis,liab_elec,liab_other,liab_tax_income,liab_tax_prop,liab_tax_sales,liab_tax_wealth,liab_tel,liab_total,liab_transp,liab_water,url
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=375
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=374
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=373
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=372
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=371
,250000.0,,,,,,,,250000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=370
,,,,,,,,35000.0,35000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=3011
,,,,,,,,,198190.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=3012
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=3013
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2918
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=3016
,69086.0,,,,,,,,69086.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2919
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4727
,,,,0.0,,,,,0.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2513
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2510
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2511
,,,,10000.0,18000.0,,,,28000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2516
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2517
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2514
,1700000.0,,,15300.0,,,,,1715300.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4720
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2518
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5099
,82010.0,,1068010.0,,,,,,1150020.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4729
,250000.0,,,,,,,,250000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4728
,,,,,,,,,2948961.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1505
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=159
,,,,0.0,,,,,0.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=158
,500000.0,,,6545.0,,,,,506545.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=153
,2250000.0,,10000.0,79000.0,,,,,2339000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=152
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=151
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=150
,,,,,5600.0,,,,962600.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=157
0.0,170000.0,,,,,,,,170000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=156
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=155
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=154
,0.0,,,,,,,,0.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4437
,,,,,,,,,270000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4435
,787357.0,,,,,,,,787357.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4434
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=557
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=556
,336500.0,57365.94,,,,,,,393865.94,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=555
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=554
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=553
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=552
,55000.0,,,16000.0,,,,,71000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2608
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2609
,28000.0,,,,,,,,28000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2607
,90000.0,,,,,,,,90000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2604
,60000.0,,,,,,,,60000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2605
,5062000.0,,,,,,,,5062000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2602
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2603
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2600
,1700000.0,,,,,,,,1700000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2601
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=97
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=96
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=95
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=94
,250000.0,,,,,,,,250000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=93
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=92
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=91
,,,,0.0,,,,,0.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=90
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=799
