,IPC_sections,Other,serial_no,type,url,year_election
6548,"[143, 353, 341, 188]"," Case No.580/99, Crime No.2562/08, P.S.Bhadohi, Court A.C.J.M.Gyanpur ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4155,2009
6549,"[323, 504, 506(2), 114]"," FIR NO. 7/12, CR. CASE NO. 1882/13, 135 G.P. ACT, 66B, CHIEF JUD. MAG. COURT, MAMLATDAR COURT. CASE IS PENDING ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7628,2014
6550,[]," FIR No.247/13, CR.CASE No.3987/14, CHIEF JUD. MAG. COURT, MAMLATDAR COURT. CASE IS PENDING ", 2,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7628,2014
6551,[]," 66-1(b), 65-A-E(81), 166 (B), Act, KAPADWANJ POLICESTATION CC NO 22/13 & 23/13 ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7626,2014
6552,[]," 66-1(b), 65-A-E(81), 166 (B), Act, DABHODA POLICESTIONA CC NO 113/09 ", 2,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7626,2014
6553,[]," 66-1(b), 65-A-E(81), 166 (B), Act, DEHGAM POLICSTATION, 156/09 157/09 ", 3,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7626,2014
6554,[]," 66-1(b), 65-A-E(81), 166 (B), Act, MODASA CC NO: 2345/11 ", 4,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7626,2014
6555,[]," 66-1(b), 65-A-E(81), 166 (B), Act, AMDAVAD POLICE STATION CC NO:5012/10 ", 5,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7626,2014
6556,[]," 66-1(b), 65-A-E(81), 166 (B),Act, NADIYAD RURAK POLICE STATION C NO 209/09 ", 6,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7626,2014
6557,[]," 66-1(b), 65-A-E(81), 166 (B), Act, NADIYAD TOWN POLICE STATION CC NO 901/09 ", 7,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7626,2014
6558,[]," 66-1(b), 65-A-E(81), 166 (B),Act, MEMDAVAD POLICESTATION CC NO 1788/13 ", 8,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7626,2014
6559,[]," 66-1(b), 65-A-E(81), 166 (B),Act, MEMDAVAD POLICESTATION CC NO 1/14 ", 9,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7626,2014
6560,"[379, 120B]"," FIR No.RC-CHG-2001-A-0035, P.S.CBI Chandigarh, Dist.Chandigarh, State-Chandigarh, Court Special Judge CBI Haryana at Ambala, Cognizance Date-22/11/2004, Yes Further Procedings Stayed by Punjab & Haryana High Court Chandigarh ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=1610,2014
6561,[406], CR.NO.94/96 03.05.2006 754/2008 , 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=3174,2009
6562,"[147, 148, 149, 353, 332, 337, 338, 435, 427, 323, 324, 325, 326, 307, 364, 342]"," 95/09  27 arms Act.
3/4 Explosive Act.Sub Divisinoal Judicial Magistrate 03.05.2006  ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=3174,2009
6563,"[147, 148, 149, 307]"," 27 ARMS ACT,SAMASTIPUR NAGAR PS CASE NO.119/03,QUICK COURT,II SAMASTIPUR,DATE 18.2.09 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=3175,2009
6564,"[341, 323, 147, 149, 307]"," 27 ,30 ARMS ACT,
131(B) 132 R.P. ACT,SAMASTIPUR PS CASE NO.213/04,QUICK COURT,II SAMASTIPUR,DATE 17.3.09 ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=3175,2009
6565,[]," 3 (1)PROPERTY DESCRIPTION ACT,A.K.MISHRA,JUDICIAL COURT,DALSINGH SARAI,17.02.09 ", 3,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=3175,2009
6566,[366], ROSDA PS CASE NO.36/07 , 4,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=3175,2009
6567,"[279, 337]", 3/181 MOTOR VEHICLE ACT , 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=629,2004
6568,[], PDP ACT 1985 , 2,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=629,2004
6569,[188 IPC]," 127(2) RP ACT Sri A.K.Sinha J.M.IST CLASS Katihar G.R.1711/99 ,29.03.2000 ", 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=628,2004
6570,"[147, 148, 324, 336, 506, 11, 149]"," CC No. 1474/2003 in FIR No, 933/2002,Court-XXIII Metropoliton Magistrate court,Saidapet,Chennai-15,Cognizance Date-27/6/2003 ", 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=3623,2004
6571,[120B]," 13(2)r/w,13(1)(e) of PC Act 1988,Case No.DVAC-FIR No.9/2002,Date-16/8/2002 ", 2,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=3623,2004
6572,"[147, 323, 343, 353, 307]"," 27 Arms Act, Case no.1055/1987, Charges not framed yet, Pending on Sub Divisional Judicial Magistrate Patna, Gandhi Maidan Police Station, Cognizance date 05-05-1990 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=2330,2009
6573,[171(C)]," Sec.133 of R.P Act, Case no.375/2005, First Class Judicial Magistrate Court Patna, Cognizance date 23-05-2008 ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=2330,2009
6574,"[149, 302, 323]", 27 Arms Act , 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=829,2004
6575,"[143, 148, 149, 324, 332, 427]", Cr.264/2004 MUSEUM POLICE STATION TRIVANDRUM DISTRICT KERALA STATE SECTIONS OF CONCERNED ACTS AT CJM COURT TRIVANDRUM-CC 35/2007 , 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1560,2009
6576,"[143, 147, 149, 283]", Cr 228/2002 CANTONMENT POLICE STATION TRIVANDRUM DISTRICT KERALA STATE SECTIONS OF CONCERNED ACTS AT CJM COURT TRIVANDRUM-CC35/2007 , 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1560,2009
6577,"[143, 147, 149, 283]"," Cr.229/2002 CANTONMENT POLICE STATION TRIVANDRUM DISTRICT KERALA STATE SECTIONS OF CONCERNED 38 r/w 52 OF KP ACT UNDER TRALL AT JFMC-3 TRIVANDRUM- CC 288/2003, DATE OF CASE. 2-12-2002 ", 3,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1560,2009
6578,"[143, 147, 148, 149, 324, 307]"," Cr 51/2003 CANTONMENT POLICE STATION TRIVANDRUM DISTRICT KERALA STATE SECTIONS OF CONCERNED ACT UNDER TRAIL AT ASST. ADDL. SESSIONS COURT-2 TRIVANDRUM-SC 528/2008, DATE OF CASE 10-3-2003 ", 4,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1560,2009
6579,"[143, 147, 149, 307 r/w 145]"," Cr 52/2003 CANTONMENT POLICE STATION TRIVANDRUM DISTRICT KERALA STATE SECTIONS OF CONCERNED ACTS UNDER TRALL AT ASST. SESSIONS COURT-2 TRIVANDRUM-SC 972/2007, DATE OF CASE. 10-3-2007 ", 5,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1560,2009
6580,"[143, 147, 148, 149, 308]"," Cr. 136/2003 CANTONMENT POLICE STATION TRIVANDRUM DISTRICT KERALA STATE SECTIONS OF CONCERNED ACTS UNDER  TRALL AT JFMC-3, TRIVANDRUM-CC /2004, DATE. 1-7-2003 ", 6,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1560,2009
6581,"[143, 147, 149, 283]"," Cr 162/2003 CANTONMENT POLICE STATION TRIVANDRUM DISTRICT KERALA STATE SECTIONS OF CONCERNED ACTS 38 r/W 52 OF KP ACT UNDER TRALL AT JFMC-3 TRIVANDRUM-CC 940/2003, DATE. 30-7-2003 ", 7,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1560,2009
6582,"[143, 147, 148, 149, 332, 283, 307]"," Cr 168/2003 CANTONMENT POLICE STATION TRIVANDRUM DISTRICT KERALA STATE SECTIONS OF CONCERNED ACTS UNDER TRALL AT JFMC-3 TRIVANDRUM-CP 38/2005, DATE. 7-8-2003 ", 8,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1560,2009
6583,"[143, 147, 149, 188]"," Cr 105/2004 CANTONMENT POLICE STATIONS TRIVANDRUM DISTRICT KERALA STATE SECTIONS OF CONCERNED ACTS UNDER TRAIL AT JFMC-3 TRIVANDRUM-CC 296/2004, DATE. 7-8-2003 ", 9,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1560,2009
6584,"[143, 147, 149, 188, 283]"," Cr 119/2004 CANTONMENT POLICE STATION TRIVANDRUM DISTRICT KERALA STATE SECTIONS OF CONCERNED ACTS UNDER TRAIL AT JFMC-3 TRIVANDRUM-CC 282/2004, DATE. 11-6-2004 ", 10,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1560,2009
6585,"[143, 147, 148, 149, 283]"," Cr 345/2004 CANTONMENT POLICE STATION TRIVANDRUM DISTRICT KERALA STATE SECTIONS OF CONCERNED SEC 38/W 52 KP ACT AND 3(2)(E) OF PDPP ACT UNDER TRALL AT JFMC-3 TRIVANDRUM-CC 225/2005, DATE. 2-12-2004 ", 11,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1560,2009
6586,[452], P.S. Utroala Balrampur U.P. , 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4045,2009
6587,"[143, 147, 341, 387, 149, 323, 327, 148]"," cc,no.150/2009,cc.no.743/06,cc no.535/09 16.02.09,08.05.08,27.03.09, ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1564,2009
6588,"[406, 420]"," CC 164/2008
 CENTRAL CJM Eranakulam Kerala 3.05.2008 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1569,2009
6589,[188]," 123/133 Representation of the People Act, C.C.No.192/2009, 1860 P.S. Maharajganj, Balrampur, Judicial Magistrate IInd, Balrampur, Case No.317/13/09, Cognizance dt. 19.05.2009,Under Cr.P.C 1973 Court  High Judicial Lucknow (Stay  Proceedings) ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=9572,2014
6590,[188]," 123/133 Representation of the People Act 1950, C.C.No.217/2009, 1860 P.S. pachperwa, Balrampur, CJM, Balrampur, Case No.5606/09, Cognizance dt.29.4.2009,  Miscellaneous Criminal Petition No 4825/2010,Under  Cr.P.C 1973 Court High Judicial Lucknow (Stay Proceedings)   ", 2,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=9572,2014
6591,"[188, 171A, 290]"," 123,133,137,127 Representation of the People Act 1950,  C.C.No.156/2009, P.S.Kotwali Nagar, Balrampur, CJM, Balrampur, Case No.2061/09, Cognizance dt.28.03.2009, 1860 & 179 M.V. Act, Miscellaneous Criminal Petition No 1253/201, Under Cr P.C 1973 Court High Judicial Lucknow (Stay Proceedings) ", 3,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=9572,2014
6592,"[188, 290]"," 123/133, 127 Representation of the People Act 1950, 1860 & 179 M.V. Act, CC No.220/2009, P.S. Utrolla, Balrampur, Judicial Magistrate Utrolla, Dist Balrampur, Case No.341/09, Cognizance dt.18.4.2009, Miscellaneous Criminal Petition No  1254/2011 Under 482 CR.PC. 1973 High Judicial Lucknow   (Stay Proceedings) ", 4,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=9572,2014
6593,[]," 138 Negotiable Instruments Act, Criminal No 602/08 Case No.145/08, Judicial Magistrate IIIrd, Gorakhpur, Cognizance Dt.20.10.2009, (Pending) ", 5,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=9572,2014
6594,[]," 32 Drugs and Cosmetics Act 1940, Criminal No 02/2004, Case No.602/08, Judicial Magistrate-IIIrd, Gorakhpur, Cognizance Dt.17.7.2010,  Miscellaneous Criminal Petition No  2715/13 27/15 Under 482 Cr.P.C 1973 High Judicial Allahabad (Stay Proceedings) ", 6,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=9572,2014
6595,"[420, 500, 406]"," Case No.61/12, Judicial Magistrate-I, Badaiu, Cognizance Dt.01.10.2012 ", 7,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=9572,2014
6596,[188]," CC No.8/2012, P.C. 1860, Thana- Chouri Bhadohi, Case No.02/2004, CJM, Kollam, Keral, Cognizance dt.28.02.2004 ", 8,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=9572,2014
6597,"[147, 148, 188, 418, 504, 506]"," Criminal No 145/08, Case no.115/12, Judicial Magistrate -II, Bhadohi, Cognizance dt.12.3.2012 ", 9,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=9572,2014
6598,"[143, 188, 291]", Crime No-296/12 , 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=3966,2014
6599,"[143, 188, 291, 124A, 149]"," Crime No-300/12,Sec 2 Of Prevention Of Insult To National Honour Act ", 2,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=3966,2014
6600,"[150, 353, 374]"," 23 JJ Act 1986,Crime No-301/12 ", 3,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=3966,2014
